"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","A","Eib","yes",1,"1.97","-0.65","-0.65"
"2","H","Val","yes",3,"2.03","-0.70","-1.35"
"3","A","RVd","yes",1,"1.58","-0.32","-1.67"
"4","H","Bar","yes",0,"0.55","0.54","-1.13"
"5","A","Osa","yes",0,"1.10","0.08","-1.05"
"6","H","Atl","yes",0,"0.62","0.48","-0.57"
"7","A","Lev","yes",1,"1.18","0.01","-0.56"
"8","H","RSo","yes",0,"1.00","0.16","-0.40"
"9","A","Elc","yes",1,"1.13","0.06","-0.35"
"10","A","Sev","yes",0,"0.32","0.73","0.39"
"11","H","Gra","yes",3,"1.94","-0.62","-0.23"
"12","A","Bil","yes",3,"0.84","0.30","0.07"
"13","H","Cad","yes",3,"1.29","-0.08","-0.01"
"14","H","Ala","yes",3,"1.91","-0.60","-0.62"
"15","A","Get","yes",1,"1.14","0.04","-0.57"
"16","H","Hue","yes",3,"1.91","-0.60","-1.17"
"17","A","RMa","yes",0,"0.46","0.61","-0.55"
"18","H","Vil","yes",0,"1.10","0.08","-0.47"
"19","A","Bet","yes",0,"0.71","0.40","-0.07"
"20","H","Eib","yes",1,"1.73","-0.45","-0.52"
"21","A","Gra","yes",1,"0.62","0.48","-0.04"
"22","A","Atl","yes",1,"0.25","0.79","0.74"
"23","H","Elc","yes",3,"2.07","-0.73","0.01"
"24","A","Val","yes",0,"0.86","0.28","0.29"
"25","H","RVd","yes",1,"1.73","-0.45","-0.16"
"26","A","Hue","yes",3,"1.45","-0.21","-0.37"
"27","H","Bil","yes",1,"1.83","-0.53","-0.90"
"28","H","RMa","yes",0,"0.56","0.53","-0.37"
"29","A","Ala","yes",3,"1.18","0.01","-0.36"
"30","H","Sev","yes",0,"0.74","0.38","0.02"
"31","A","Cad","yes",1,"1.38","-0.16","-0.13"
"32","A","RSo","yes",0,"0.82","0.31","0.17"
"33","H","Osa","no",NA,"1.54","-0.29","-0.12"
"34","H","Lev","no",NA,"1.55","-0.30","-0.42"
"35","A","Vil","no",NA,"0.92","0.23","-0.19"
"36","H","Get","no",NA,"1.83","-0.53","-0.72"
"37","A","Bar","no",NA,"0.36","0.70","-0.02"
"38","H","Bet","no",NA,"1.17","0.02","-0.00"
