"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","H","RSo","yes",1,0,"0.49","0.44","0.44"
"2","A","Bet","yes",0,-2,"0.68","0.22","0.66"
"3","H","Cel","yes",1,0,"0.99","-0.14","0.52"
"4","A","RMa","yes",0,-1,"0.43","0.51","1.03"
"5","H","Eib","yes",0,-1,"1.08","-0.24","0.78"
"6","A","Hue","yes",1,0,"1.39","-0.60","0.19"
"7","H","Ala","yes",0,-2,"1.39","-0.60","-0.41"
"8","A","Vil","yes",0,-2,"0.91","-0.04","-0.45"
"9","H","Bil","yes",3,1,"1.17","-0.34","-0.79"
"10","A","Gra","yes",3,2,"0.59","0.32","-0.47"
"11","H","Lev","yes",1,0,"0.98","-0.12","-0.58"
"12","A","Atl","yes",0,-2,"0.23","0.73","0.15"
"13","H","Osa","yes",3,1,"0.97","-0.11","0.03"
"14","A","Sev","yes",1,0,"0.28","0.67","0.71"
"15","H","Bar","yes",0,-3,"0.24","0.73","1.44"
"16","A","Cad","yes",1,0,"1.33","-0.52","0.91"
"17","A","Get","yes",3,1,"1.08","-0.24","0.67"
"18","H","Val","yes",0,-1,"1.39","-0.59","0.08"
"19","H","Elc","yes",1,0,"1.44","-0.65","-0.57"
"20","A","Lev","yes",1,0,"1.12","-0.29","-0.85"
"21","H","Hue","yes",0,-2,"1.25","-0.43","-1.29"
"22","A","Ala","yes",0,-1,"1.13","-0.30","-1.58"
"23","A","Eib","yes",1,0,"1.78","-1.04","-2.62"
"24","H","RMa","yes",0,-1,"0.27","0.69","-1.93"
"25","A","Cel","yes",1,0,"0.79","0.10","-1.83"
"26","H","Get","yes",3,1,"1.18","-0.35","-2.18"
"27","A","Osa","yes",1,0,"1.04","-0.20","-2.37"
"28","H","Sev","yes",1,0,"0.36","0.59","-1.79"
"29","A","Bar","yes",0,-1,"0.43","0.51","-1.28"
"30","H","Gra","yes",0,-1,"1.10","-0.26","-1.54"
"31","A","Elc","yes",1,0,"1.06","-0.22","-1.76"
"32","H","Cad","yes",1,0,"0.70","0.19","-1.56"
"33","A","Bil","yes",1,0,"0.72","0.17","-1.39"
"34","H","Bet","no",NA,NA,"0.63","0.28","-1.11"
"35","A","Val","no",NA,NA,"0.82","0.06","-1.05"
"36","H","Vil","no",NA,NA,"0.57","0.35","-0.70"
"37","A","RSo","no",NA,NA,"0.78","0.10","-0.60"
"38","H","Atl","no",NA,NA,"0.35","0.60","-0.00"
