"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","Tro","yes",3,1,"1.82","0.15","0.15"
"2","H","Str","yes",3,2,"2.63","-0.22","-0.07"
"3","A","Bre","yes",3,2,"1.74","0.19","0.12"
"4","A","Rei","yes",3,2,"1.83","0.15","0.26"
"5","H","Cle","yes",3,4,"2.73","-0.27","-0.01"
"6","H","Lyo","yes",3,1,"2.67","-0.24","-0.26"
"7","A","Mtz","yes",3,1,"2.26","-0.05","-0.31"
"8","H","Mtp","yes",3,2,"2.68","-0.25","-0.56"
"9","A","Ren","yes",0,-2,"0.92","0.57","0.02"
"10","H","Ang","yes",3,1,"2.76","-0.29","-0.27"
"11","A","Mar","yes",1,0,"1.61","0.25","-0.02"
"12","H","Lil","yes",3,1,"2.59","-0.21","-0.22"
"13","A","Bor","yes",3,1,"2.14","0.00","-0.22"
"14","H","Nan","yes",3,2,"2.73","-0.27","-0.50"
"15","A","StE","yes",3,2,"2.02","0.06","-0.44"
"16","H","Nic","yes",1,0,"2.45","-0.14","-0.58"
"17","A","Len","yes",1,0,"1.41","0.34","-0.24"
"18","H","Mco","yes",3,2,"2.68","-0.25","-0.49"
"19","A","Lor","yes",1,0,"1.78","0.17","-0.32"
"20","A","Lyo","yes",1,0,"1.30","0.40","0.08"
"21","H","Bre","yes",3,2,"2.65","-0.24","-0.16"
"22","H","Rei","yes",3,4,"2.69","-0.25","-0.41"
"23","A","Lil","yes",3,4,"1.47","0.32","-0.10"
"24","H","Ren","yes",3,1,"2.69","-0.25","-0.35"
"25","A","Nan","yes",0,-2,"1.16","0.46","0.11"
"26","H","StE","yes",3,2,"2.77","-0.29","-0.18"
"27","A","Nic","yes",0,-1,"1.44","0.33","0.15"
"28","H","Bor","yes",3,3,"2.78","-0.30","-0.14"
"29","A","Mco","yes",0,-3,"1.28","0.40","0.26"
"30","H","Lor","yes",3,4,"2.81","-0.31","-0.05"
"31","A","Cle","no",NA,NA,"2.03","0.05","0.00"
"32","H","Mar","no",NA,NA,"2.27","-0.06","-0.06"
"33","A","Ang","no",NA,NA,"1.77","0.17","0.12"
"34","H","Len","no",NA,NA,"2.70","-0.26","-0.14"
"35","A","Str","no",NA,NA,"1.17","0.45","0.31"
"36","H","Tro","no",NA,NA,"2.77","-0.29","0.02"
"37","A","Mtp","no",NA,NA,"1.59","0.26","0.28"
"38","H","Mtz","no",NA,NA,"2.74","-0.28","-0.00"
