"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","H","Ang","yes",0,-2,"2.08","-0.31","-0.31"
"2","A","PSG","yes",0,-2,"0.29","0.82","0.51"
"3","H","Tro","yes",1,0,"2.18","-0.37","0.13"
"4","H","Bre","yes",3,2,"1.81","-0.14","-0.01"
"5","A","Lyo","yes",0,-2,"0.93","0.41","0.40"
"6","H","Mtz","yes",3,3,"2.15","-0.36","0.04"
"7","A","Len","yes",3,1,"1.05","0.34","0.38"
"8","H","Lil","yes",0,-1,"1.81","-0.14","0.24"
"9","A","Mtp","yes",1,0,"1.34","0.15","0.39"
"10","H","StE","yes",3,4,"2.21","-0.39","-0.00"
"11","A","Ren","yes",0,-1,"0.75","0.53","0.53"
"12","H","Lor","yes",3,4,"2.30","-0.45","0.07"
"13","A","Nan","yes",1,0,"0.93","0.42","0.49"
"14","H","Rei","yes",1,0,"1.89","-0.19","0.30"
"15","A","Mco","yes",1,0,"0.90","0.43","0.73"
"16","H","Bor","yes",3,3,"2.21","-0.40","0.33"
"17","A","Nic","yes",3,3,"1.05","0.34","0.67"
"18","H","Mar","yes",0,-2,"1.05","0.34","1.01"
"19","A","Mtz","yes",3,2,"2.08","-0.31","0.70"
"20","H","Mtp","yes",3,2,"1.98","-0.25","0.45"
"21","A","Cle","yes",3,2,"1.83","-0.16","0.29"
"22","A","Bor","yes",0,-1,"1.81","-0.14","0.15"
"23","H","Nan","yes",3,1,"2.05","-0.29","-0.15"
"24","A","Ang","yes",3,1,"1.55","0.02","-0.12"
"25","A","StE","yes",1,0,"1.72","-0.09","-0.21"
"26","H","Nic","yes",1,0,"1.50","0.06","-0.15"
"27","A","Rei","yes",1,0,"1.56","0.01","-0.14"
"28","H","Mco","yes",3,1,"1.67","-0.05","-0.19"
"29","A","Lor","yes",1,0,"1.36","0.14","-0.05"
"30","H","Len","yes",3,1,"1.77","-0.12","-0.17"
"31","H","Lyo","yes",1,0,"1.88","-0.18","-0.35"
"32","A","Tro","yes",1,0,"1.54","0.03","-0.32"
"33","H","Ren","yes",3,1,"1.83","-0.15","-0.48"
"34","A","Lil","yes",0,-1,"1.21","0.24","-0.24"
"35","H","PSG","yes",1,0,"1.41","0.11","-0.13"
"36","A","Bre","no",NA,NA,"1.41","0.11","-0.01"
"37","H","Cle","no",NA,NA,"1.96","-0.24","-0.25"
"38","A","Mar","no",NA,NA,"1.19","0.25","-0.00"
